MINERAL,PERCENT,ERROR,sol
APATITE,1.6,0.6,1335
PLAGIOCLASE,51.1,2.2,1363
PYROXENE,9.7,2.0,1363
HEMATITE,26.0,1.1,1363
QUARTZ,1.9,0.6,1363
ANHYDRITE,5.8,0.4,1363
GYPSUM,5.5,0.6,1363
PLAGIOCLASE,45.8,3.6,1426
HEMATITE,16.4,2.1,1426
ANHYDRITE,10.2,1.1,1426
BASSANITE,1.9,0.8,1426
GYPSUM,6.4,1.1,1426
SANIDINE,7.7,2.5,1426
FORSTERITE,5.3,1.6,1426
PYROXENE,3.6,3.7,1426
JAROSITE,1.5,0.5,1426
QUARTZ,1.2,1.0,1426
PLAGIOCLASE,44.0,2.0,1472
HEMATITE,20.0,1.5,1472
ANHYDRITE,10.7,0.8,1472
BASSANITE,4.5,0.9,1472
GYPSUM,1.8,1.3,1472
SANIDINE,6.1,1.6,1472
FORSTERITE,5.1,1.8,1472
PYROXENE,5.3,1.6,1472
JAROSITE,1.4,0.6,1472
QUARTZ,1.1,0.6,1472
PLAGIOCLASE,38.4,2.4,1499
HEMATITE,20.4,1.7,1499
ANHYDRITE,16.9,1.1,1499
BASSANITE,1.8,0.5,1499
GYPSUM,3.8,1.3,1499
SANIDINE,5.1,2.0,1499
FORSTERITE,3.0,1.0,1499
PYROXENE,6.8,4.2,1499
JAROSITE,2.6,0.6,1499
QUARTZ,1.2,0.6,1499
PLAGIOCLASE,47.1,2.1,1834
FORSTERITE,18.2,1.2,1834
AUGITE,15.7,1.8,1834
PIGEONITE,10.2,1.8,1834
MAGNETITE,2.5,0.6,1834
HEMATITE,2.3,0.5,1834
ANHYDRITE,2.3,0.5,1834
QUARTZ,1.6,0.4,1834
PLAGIOCLASE,53.1,3.8,1934
FORSTERITE,10.4,2.4,1934
AUGITE,13.2,1.8,1934
PIGEONITE,8.5,3.0,1934
MAGNETITE,2.4,1.2,1934
HEMATITE,6.8,1.5,1934
ANHYDRITE,3.1,1.5,1934
QUARTZ,2.5,1.4,1934
ANDESINE,43.5,2.6,196
SANIDINE,2.4,1.5,196
ALBITE,1.3,0.8,196
FORSTERITE,5.7,1.5,196
AUGITE,7.6,2.2,196
PIGEONITE,11.3,3.0,196
ORTHOPYROXENE,6.1,2.0,196
MAGNETITE,7.6,1.6,196
ANHYDRITE,5.3,1.4,196
BASSANITE,2.1,0.7,196
QUARTZ,0.9,0.9,196
HEMATITE,1.2,1.1,196
AKAGANEITE,2.3,1.2,196
HALITE,0.3,0.3,196
PYRITE,0.6,0.5,196
PYRRHOTITE,2.0,0.9,196
PLAGIOCLASE,55.8,1.8,2069
SANIDINE,9.0,0.9,2069
PYROXENE,9.0,1.4,2069
HEMATITE,13.0,0.8,2069
MAGNETITE,1.6,0.3,2069
ANHYDRITE,3.0,0.5,2069
BASSANITE,5.4,0.4,2069
GYPSUM,1.8,0.1,2069
QUARTZ,1.3,0.2,2069
PLAGIOCLASE,44.1,1.7,2142
SANIDINE,4.0,0.7,2142
PYROXENE,7.3,1.3,2142
HEMATITE,28.3,1.0,2142
MAGNETITE,0.7,0.2,2142
AKAGANEITE,1.6,0.1,2142
ANHYDRITE,5.3,0.5,2142
BASSANITE,0.8,0.3,2142
GYPSUM,4.2,0.3,2142
JAROSITE,2.2,0.3,2142
QUARTZ,1.5,0.3,2142
PLAGIOCLASE,47.3,2.1,2227
SANIDINE,3.7,1.0,2227
HEMATITE,20.2,1.3,2227
MAGNETITE,1.4,1.3,2227
PYROXENE,10.1,3.4,2227
ANHYDRITE,8.2,1.0,2227
BASSANITE,2.6,0.6,2227
GYPSUM,5.2,1.0,2227
QUARTZ,1.3,0.7,2227
PLAGIOCLASE,38.2,4.1,2265
HEMATITE,5.4,0.4,2265
PYROXENE,17.1,1.9,2265
AKAGANEITE,11.3,0.9,2265
JAROSITE,4.3,0.9,2265
APATITE,2.5,0.8,2265
ANHYDRITE,21.2,2.6,2265
Plagioclase,34.7,3.8,2374
Anhydrite,18.9,2.2,2374
Bassanite,18.4,1.4,2374
Pyroxene,14.7,5.6,2374
Sanidine,3.9,1.6,2374
Hematite,5.5,1.4,2374
Magnetite,1.9,1.1,2374
Quartz,2.1,1.0,2374
Plagioclase,32.5,3.6,2389
Anhydrite,29.3,1.3,2389
Bassanite,10.0,1.0,2389
Pyroxene,13.4,4.6,2389
Sanidine,2.3,2.0,2389
Hematite,3.8,1.0,2389
Siderite,8.0,1.0,2389
Quartz,0.8,0.4,2389
Plagioclase,40.0,2.8,2492
Anhydrite,34.0,1.3,2492
Bassanite,3.0,1.2,2492
Pyroxene,6.0,1.9,2492
Sanidine,5.0,2.4,2492
Siderite,3.0,0.9,2492
Hematite,7.0,2.5,2492
Quartz,2.0,0.8,2492
Plagioclase,63.0,3.1,2543
Anhydrite,10.0,0.6,2543
Bassanite,3.0,0.8,2543
Pyroxene,11.0,2.6,2543
Sanidine,6.0,1.5,2543
Hematite,4.0,1.3,2543
Quartz,2.0,0.2,2543
